identifier,name,thumbnail,description,mimetype,url,media,agegroup,domain,curriculargoal,competencies,language,category,sourceorg,audience,keywords,status,learningoutcomes,createdon,lastupdatedon
do_31289561389613875215352,२ ची ओळख व लेखन,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561389613875215352/1xsnzowmdjwkp_yerhhv0kde1nwjoof9-.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561389613875215352/1agt2r44gfzi9_fcsfvexmd_baorkfee6.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyahsl5ktbqabta46lbc4n7wgtoni7eaar4gab5xwiwnhia/master.m3u8""}]",3-6,,,,Marathi,Activity,Balbharati undefined,{Teacher},{Mathematical},Live,,NOW(),
do_312585423812583424115800,३१ ते ४० ची ओळख व लेखन,https://obj.diksha.gov.in/ntp-content-production/content/do_312585423812583424115800/artifact/1st-math-mar.thumb.png,,video/x-youtube,https://www.youtube.com/embed/4wtk8ByKCSg?autoplay=1&enablejsapi=1,"[{""mimetype"":""text/html; charset=utf-8"",""url"":""https://www.youtube.com/embed/4wtk8ByKCSg?autoplay=1&enablejsapi=1""}]",3-6,,,,Marathi,Activity,,{Teacher},{Mathematical},Live,,NOW(),
do_313292412485738496138263,प्रस्तावना लांब - आखूड,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412485738496138263/artifact/do_313292412485738496138263_1622608946775_ma_s01_math_ch_40_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaengbzqes7hwbw7bat2ayidaib3rnzxxeocbtpwznoqpa/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Activity},Live,,NOW(),
do_312585423901573120215410,शतकाची ओळख,https://obj.diksha.gov.in/ntp-content-production/content/do_312585423901573120215410/artifact/1st-math-mar.thumb.png,,video/x-youtube,https://www.youtube.com/embed/dv8yO8Wt7Tg?autoplay=1&enablejsapi=1,"[{""mimetype"":""text/html; charset=utf-8"",""url"":""https://www.youtube.com/embed/dv8yO8Wt7Tg?autoplay=1&enablejsapi=1""}]",3-6,,,,Marathi,Activity,,{Teacher},{Mathematical},Live,,NOW(),
do_313292411957862400138245,वस्तू खरेदीसाठी नाणी व नोटा,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292411957862400138245/artifact/do_313292411957862400138245_1622608882077_ma_s01_math_ch_25_02.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyar4a3wwtafwfvkzmm7bjvmn33nmqznu6lycj4lryxrrsq/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_313292412778176512138273,प्रस्तावना चला मोजूया.,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412778176512138273/artifact/do_313292412778176512138273_1622608982531_ma_s01_math_ch_49_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyak2z4ozhvtfvym6kuicfhf7nj5o6mn6gqulqf73ubiuuq/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_313292411723489280138237,वजाबाकीची उदाहरणांचा सराव,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292411723489280138237/artifact/do_313292411723489280138237_1622608853577_ma_s01_math_ch_20_02.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyawdobzf3bvukwab67xboapgewyhoxebnsxfwkbbvzf5dq/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_31289561370743603215351,एक - अनेक,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561370743603215351/1xsnzowmdjwkp_yerhhv0kde1nwjoof9-.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561370743603215351/1ywtzuacf7nmpl9iixeazcibjbxfpetuf.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyae54wnys2zme6o7tzu37s3laef6n7rlqu72bk7ei4bswq/master.m3u8""}]",3-6,,,,Marathi,Activity,Balbharati undefined,{Teacher},{Mathematical},Live,,NOW(),
do_312585423729287168215405,३ ची ओळख व लेखन,https://obj.diksha.gov.in/ntp-content-production/content/do_312585423729287168215405/artifact/1st-math-mar.thumb.png,,video/x-youtube,https://www.youtube.com/embed/_BoIel67mXQ?autoplay=1&enablejsapi=1,"[{""mimetype"":""text/html; charset=utf-8"",""url"":""https://www.youtube.com/embed/_BoIel67mXQ?autoplay=1&enablejsapi=1""}]",3-6,,,,Marathi,Activity,,{Teacher},{Mathematical},Live,,NOW(),
do_31289561364168704011464,वर -खाली,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561364168704011464/1xsnzowmdjwkp_yerhhv0kde1nwjoof9-.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561364168704011464/1edfzi2-2zwge82y2wriamu0dspwnns1t.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyamn67y2cwbsg2t5mmw6gfssajuq6673sizovsvbceif3a/master.m3u8""}]",3-6,,,,Marathi,Activity,Balbharati undefined,{Teacher},{Mathematical},Live,,NOW(),
do_313292412518998016138264,प्रस्तावना सर्वात लांब – सर्वात आखूड.,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412518998016138264/artifact/do_313292412518998016138264_1622608950589_ma_s01_math_ch_41_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaoqgspsqy3r5wyrw5ob7fbvnvojnqv6agx4l7arzcakza/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_312585423715467264115795,२ ची ओळख व लेखन,https://obj.diksha.gov.in/ntp-content-production/content/do_312585423715467264115795/artifact/1st-math-mar.thumb.png,,video/x-youtube,https://www.youtube.com/embed/oc4GWFsqBYE?autoplay=1&enablejsapi=1,"[{""mimetype"":""text/html; charset=utf-8"",""url"":""https://www.youtube.com/embed/oc4GWFsqBYE?autoplay=1&enablejsapi=1""}]",3-6,,,,Marathi,Activity,,{Teacher},{Mathematical},Live,,NOW(),
do_312585423933595648115806,दूर - जवळ,https://obj.diksha.gov.in/ntp-content-production/content/do_312585423933595648115806/artifact/1st-math-mar.thumb.png,,video/x-youtube,https://www.youtube.com/embed/g0dUkwQYa9E?autoplay=1&enablejsapi=1,"[{""mimetype"":""text/html; charset=utf-8"",""url"":""https://www.youtube.com/embed/g0dUkwQYa9E?autoplay=1&enablejsapi=1""}]",3-6,,,,Marathi,Activity,,{Teacher},{Mathematical},Live,,NOW(),
do_31289561409440972811465,८ ची ओळख व लेखन,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561409440972811465/1xsnzowmdjwkp_yerhhv0kde1nwjoof9-.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561409440972811465/1y1iktfjr_nmbqjfk3nn_xtqfkqakuj8s.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaeyzbztullh6t6irahcqqfev2rh5pak4u5r74ihnbsnwq/master.m3u8""}]",3-6,,,,Marathi,Activity,Balbharati undefined,{Teacher},{Mathematical},Live,,NOW(),
do_313292412149760000138252,प्रस्तावना ६१ ते ७० ची ओळख व लेखन,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412149760000138252/artifact/do_313292412149760000138252_1622608905573_ma_s01_math_ch_30_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaaoukhflqapm5l4gwomwscqqx4l2ajh4ve676eyzyl5ma/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_313292412713443328138271,प्रस्तावना कमी वेळ - जास्त वेळ,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412713443328138271/artifact/do_313292412713443328138271_1622608974476_ma_s01_math_ch_47_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyasxzutsz7gnh5lssokdd7drhkyl7ht5is2g3pbenkfreq/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_313292412244983808138255,प्रस्तावना ९१ ते १०० ची ओळख व लेखन,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412244983808138255/artifact/do_313292412244983808138255_1622608917204_ma_s01_math_ch_33_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhya6xjsolznilbfkmdvgorrsdrrzddxirbnhvzlpr337j3q/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_313292412451528704138262,प्रस्तावना आकार ओळख,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412451528704138262/artifact/do_313292412451528704138262_1622608942579_ma_s01_math_ch_39_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyakzamasq5hqmxse6v3fwil4cm2wajlfmz5xaujqgoafpa/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_313292411922300928138244,प्रस्तावना नाणी व नोटा,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292411922300928138244/artifact/do_313292411922300928138244_1622608878088_ma_s01_math_ch_25_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaswre4pupk3v5ggtncbu2nzznptwk45372cq3r7qeeioa/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_313292412812500992138274,प्रस्तावना सप्ताहाचे वार,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412812500992138274/artifact/do_313292412812500992138274_1622608986580_ma_s01_math_ch_50_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaaxyhhtzij4cxfozw4oiuwfuvlm2cqv7ap74rwxne6gta/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_312585423954599936115807,डावा - उजवा,https://obj.diksha.gov.in/ntp-content-production/content/do_312585423954599936115807/artifact/1st-math-mar.thumb.png,,video/x-youtube,https://www.youtube.com/embed/TU9LcpSskBE?autoplay=1&enablejsapi=1,"[{""mimetype"":""text/html; charset=utf-8"",""url"":""https://www.youtube.com/embed/TU9LcpSskBE?autoplay=1&enablejsapi=1""}]",3-6,,,,Marathi,Activity,,{Teacher},{Mathematical},Live,,NOW(),
